features__attributes__OBJECTID,features__attributes__Title,features__attributes__Type,features__attributes__IMDbLink,features__attributes__Address,features__attributes__Site,features__attributes__ShootDate,features__attributes__OriginalDetails,features__geometry__x,features__geometry__y,,,,,,,,,,,,,,,,,exceededTransferLimit
4539,50 to 1,Movie,http://www.imdb.com/title/tt1777595/,330 Tijeras Avenue NW,Hyatt Regency Albuquerque,1348272000000,"Hyatt Regency - 330 Tijeras Ave NW - ITC (9/22 only) on Tijeras from 5th to 3rd St, closure on Tijeras (one lane) from 5th st to 4th st",-106.651030818562,35.086592718513,,,,,,,,,,,,,,,,,
4540,50 to 1,Movie,http://www.imdb.com/title/tt1777595/,330 Tijeras Avenue NW,Hyatt Regency Albuquerque,1348358400000,"Hyatt Regency - 330 Tijeras Ave NW - ITC (9/22 only) on Tijeras from 5th to 3rd St, closure on Tijeras (one lane) from 5th st to 4th st",-106.651030818562,35.086592718513,,,,,,,,,,,,,,,,,
4541,50 to 1,Movie,http://www.imdb.com/title/tt1777595/,7401 Atrisco Vista Boulevard NW,Bode Aviation at Double Eagle Airport note that Atrisco Vista was formerly named Paseo Del Volcan,1348617600000,Bode Aviation - Double Eagle Airport - ITC shooting range road,-106.786847485457,35.1260392871926,,,,,,,,,,,,,,,,,
4542,50 to 1,Movie,http://www.imdb.com/title/tt1777595/,120 Woodward Road SW,Reynolds Auto Services,1349481600000,"Reynolds Auto Service - 120 Woodward SW - ITC on 2nd Street from South of Woodward to North of Woodward, and on Woodward from William St to 2nd St",-106.656087102919,35.0494447591381,,,,,,,,,,,,,,,,,
4543,50 to 1,Movie,http://www.imdb.com/title/tt1777595/,806 Dr Martin Luther King Jr Avenue NE,Eye Associates,1349481600000,"Eye Associates - 806 Martin Luther King Jr NE - ITC on MLK from Elm St to Locust St, on Elm St from Copper to MLK Jr, closure on MLK Jr from High Street to Locust St",-106.637788172647,35.0853188630685,,,,,,,,,,,,,,,,,
4544,50 to 1,Movie,http://www.imdb.com/title/tt1777595/,5400 Gibson Boulevard SE,Gibson Medical Center,1349568000000,Gibson Medical Center - No ITC/No closures,-106.581896358413,35.0583109527996,,,,,,,,,,,,,,,,,
4545,500 MPH Storm,Movie aka Hypercane,http://www.imdb.com/title/tt2518848/,7401 Atrisco Vista Boulevard NW,Double Eagle Airport note that Atrisco Vista was formerly named Paseo Del Volcan,1349136000000,Double Eagle Airport ,-106.786847485457,35.1260392871926,,,,,,,,,,,,,,,,,
4546,500 MPH Storm,Movie aka Hypercane,http://www.imdb.com/title/tt2518848/,1100 2nd Street SW,Barelas Railyards,null,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4547,500 MPH Storm,Movie aka Hypercane,http://www.imdb.com/title/tt2518848/,1100 2nd Street SW,Barelas Railyards,null,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4548,500 MPH Storm,Movie aka Hypercane,http://www.imdb.com/title/tt2518848/,1100 2nd Street SW,Barelas Railyards,null,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4549,500 MPH Storm,Movie aka Hypercane,http://www.imdb.com/title/tt2518848/,1100 2nd Street SW,Barelas Railyards,null,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4550,500 MPH Storm,Movie aka Hypercane,http://www.imdb.com/title/tt2518848/,5700 Bobby Foster Road SE,Bobby Foster Road SE,null,Bobby Foster Rd.,-106.644543924893,34.9938509777766,,,,,,,,,,,,,,,,,
4551,Adam Feldman,Political Ad,na,7100 Tramway Boulevard NE,Elena Gallegos Park,1281657600000,Elena Gallegos Park,-106.497182825924,35.1583473211594,,,,,,,,,,,,,,,,,
4552,Adventures of a Teenage Dragonslayer,Movie aka I was a 7th Grade Dragonslayer,http://www.imdb.com/title/tt1373149/,3300 Princeton Drive NE,Warehouse,1245024000000,"Warehouse on 3300 Princeton, Suite n21",-106.62033971698,35.1166744359317,,,,,,,,,,,,,,,,,
4553,Adventures of a Teenage Dragonslayer,Movie aka I was a 7th Grade Dragonslayer,http://www.imdb.com/title/tt1373149/,4910 Lomas Boulevard NE,Golfernoggins closed,null,4910 Lomas Blvd (Golfernoggin's)- No ITC/ No closures,-106.590299650535,35.087410104143,,,,,,,,,,,,,,,,,
4554,Albuquerque Convention and Visitors Bureau,Commercial,na,2000 Mountain Road NW,Albuquerque Museum ,1212192000000,Albuquerque Museum ,-106.668606238518,35.098424458889,,,,,,,,,,,,,,,,,
